seq	log_step	act	label	gate	learn_exp	min_low	min_exp	min_high	cum_exp	note
1	-	install	install uv	hold	0.0	3.0	6.0	15.0	6.0	route B's own recipe begins by installing uv; the agent's host already had it
2	1	run_command	chap --version	hold	0.0	0.4	0.8	2.0	6.8	
3	2	run_command	docker info	hold	0.0	0.4	0.8	2.0	7.6	the agent checked on its own initiative; route B needs no container runtime, so the route never gates on knowing Docker and no Docker knowledge is charged here
4	3	orient	open the model repository on GitHub	hold	0.0	0.5	1.0	2.5	8.6	
5	4	read_doc	read the model README	hold	0.0	4.0	5.8	9.8	14.4	
6	5	run_command	git clone the model	hold	0.0	0.4	0.8	2.0	15.2	
7	6	milestone	model obtained	hold	0.0	0.0	0.0	0.0	15.2	
8	7	orient	return to the README for the full invocation	hold	0.0	0.5	1.0	2.5	16.2	
9	8	read_doc	chap --help and chap eval --help	hold	0.0	3.9	5.6	9.4	21.7	
10	9	read_doc	read the Lao CHAP schema	hold	0.0	1.3	1.8	3.1	23.5	
11	10	run_command	inspect the CSV from the shell	hold	0.0	0.4	0.8	2.0	24.3	
12	11	run_command	uv run the model's own isolated_run.py	hold	0.0	0.4	0.8	2.0	25.1	
13	12	milestone	the model runs standalone	hold	0.0	0.0	0.0	0.0	25.1	
14	13	run_command	chap sanity-check-model (fails)	hold	0.0	0.4	0.8	2.0	25.9	
15	14	diagnose	chap-core 2.3.1 ships without the example dataset its default expects	hold	0.0	3.0	7.0	20.0	32.9	a FileNotFoundError deep inside site-packages, on a clean install
16	15	milestone	worked around with --dataset-path	hold	0.0	0.0	0.0	0.0	32.9	
17	16	run_command	chap sanity-check-model with the Lao CSV	hold	0.0	0.4	0.8	2.0	33.7	
18	17	milestone	the MLproject directory loads as a model	hold	0.0	0.0	0.0	0.0	33.7	
19	18	read_doc	read the installed chap-core source to find how the geometry is loaded	hold	0.0	5.8	8.3	14.1	42.1	the same undocumented sibling-GeoJSON convention as route A
20	19	decide	run from outside the repository so CHAP's run tree lands elsewhere	hold	0.0	1.0	2.0	5.0	44.1	
21	20	milestone	evaluation started	hold	0.0	0.0	0.0	0.0	44.1	
22	21	run_command	chap eval against the MLproject directory	hold	0.0	0.4	0.8	2.0	44.9	
23	22	wait	wait for the evaluation to finish	hold	0.0	1.0	1.0	1.0	45.9	measured
