dataset	location	time_period	horizon_distance	q_10	q_25	q_50	q_75	q_90	split_period	data_type	disease_cases
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-04-01	1.0	0.0	1.0	6.0	22.0	51.10000000000002	2010-03-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-05-01	1.0	0.0	1.75	14.0	61.25	141.10000000000002	2010-04-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-05-01	2.0	0.0	1.75	13.0	53.25	129.0	2010-03-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-06-01	1.0	0.0	2.0	16.0	58.0	150.20000000000005	2010-05-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-06-01	2.0	0.0	2.0	17.0	69.25	164.10000000000002	2010-04-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-06-01	3.0	0.0	1.0	13.0	52.0	122.10000000000002	2010-03-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-07-01	1.0	0.0	2.0	17.0	56.0	141.0	2010-06-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-07-01	2.0	0.0	2.0	14.0	58.0	133.0	2010-05-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-07-01	3.0	0.0	2.0	14.0	63.25	157.10000000000002	2010-04-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-08-01	1.0	0.0	2.0	14.0	59.0	132.10000000000002	2010-07-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-08-01	2.0	0.0	1.0	10.0	38.0	90.20000000000005	2010-06-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-08-01	3.0	0.0	1.0	10.0	43.0	103.0	2010-05-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-09-01	1.0	0.0	1.0	9.5	37.25	87.10000000000002	2010-08-01	forecast	
data-180f7d164923b5f1546db930090af2d8	LA-AT	2010-09-01	2.0	0.0	1.0	10.0	34.25	79.10000000000002	2010-07-01	forecast	
