"time_period","location","disease_cases","population","mean_temperature","pdsi"
"2001-01","50001",0,125591,28.5765295028687,0.0889586135745049
"2001-02","50001",1,125591,28.3139963150024,0.259991019964218
"2001-03","50001",1,125591,27.7997722625732,0.266097098588944
"2001-04","50001",5,125591,27.0991153717041,0.065383218228817
"2001-05","50001",1,125591,23.0014448165893,-0.00682070478796959
"2001-06","50001",0,125591,21.8499441146851,-0.240426376461983
"2001-07","50001",0,125591,24.4243221282959,-0.365668058395386
"2001-08","50001",0,125591,26.2302703857422,-0.292179197072983
"2001-09","50001",0,125591,26.8368330001831,-0.521407723426819
"2001-10","50001",0,125591,27.5693111419678,-0.587659418582916
"2001-11","50001",0,125591,28.2448654174805,-0.478763908147812
"2001-12","50001",1,125591,27.7094688415527,-0.149870350956917
"2002-01","50001",32,126672,28.467411994934,-1.18043076992035
"2002-02","50001",44,126672,27.7058706283569,-1.05317902565002
"2002-03","50001",22,126672,28.5603656768798,-1.51200258731842
"2002-04","50001",7,126672,27.8509244918824,-1.67759966850281
"2002-05","50001",3,126672,25.6575307846069,-1.55620861053467
"2002-06","50001",0,126672,22.7346220016479,-1.84654116630554
"2002-07","50001",0,126672,22.9482154846191,-2.04414010047913
"2002-08","50001",0,126672,25.1436185836792,-2.14590764045715
"2002-09","50001",0,126672,25.9728116989136,-2.35029649734497
"2002-10","50001",0,126672,29.2323961257935,-2.68810105323792
"2002-11","50001",7,126672,28.5409908294678,-3.10109400749207
"2002-12","50001",0,126672,28.5862522125244,-3.5497260093689
"2003-01","50001",1,127758,28.5276803970337,-3.05630397796631
"2003-02","50001",1,127758,27.9843168258667,-3.15166568756104
"2003-03","50001",2,127758,27.8429985046387,-2.8353214263916
"2003-04","50001",0,127758,25.7957925796509,-2.79748511314392
"2003-05","50001",0,127758,24.0320873260498,-2.6510534286499
"2003-06","50001",0,127758,24.4020318984985,-2.72229814529419
"2003-07","50001",0,127758,22.5302133560181,-2.73732376098633
"2003-08","50001",0,127758,22.2628602981567,-2.57284045219421
"2003-09","50001",0,127758,26.3854112625122,-2.22074604034424
"2003-10","50001",0,127758,27.7468185424805,-2.35294389724731
"2003-11","50001",0,127758,28.1481924057007,-2.57010293006897
"2003-12","50001",0,127758,28.2717180252076,-2.20936393737793
"2004-01","50001",0,130041,28.5397500991822,-2.09136772155762
"2004-02","50001",0,130041,28.1111774444581,-1.75134742259979
"2004-03","50001",0,130041,28.236364364624,-2.00336456298828
