route	metric	n_runs	min	max	mean	range	range_pct_of_mean
A	mae	3	126.853	133.278	130.045	6.4256	4.94
A	rmse	3	255.197	273.649	263.67	18.4515	7.00
A	crps	3	159.992	162.417	161.089	2.42475	1.51
A	mape	3	156.555	168.122	161.642	11.5671	7.16
A	coverage_10_90	3	0.824405	0.83631	0.831349	0.0119048	1.43
A	coverage_25_75	3	0.66369	0.672619	0.667659	0.00892857	1.34
A	crps_norm	3	0.0823428	0.0835908	0.0829075	0.00124794	1.51
A	ratio_above_truth	3	0.369601	0.370711	0.370279	0.00111012	0.30
A	sample_count	3	336000	336000	336000	0	0.00
B	mae	2	172.771	172.771	172.771	0	0.00
B	rmse	2	357.522	357.522	357.522	0	0.00
B	crps	2	172.771	172.771	172.771	0	0.00
B	mape	2	423.603	423.603	423.603	0	0.00
B	coverage_10_90	2	0	0	0	0	undefined (mean is 0)
B	coverage_25_75	2	0	0	0	0	undefined (mean is 0)
B	crps_norm	2	0.0889198	0.0889198	0.0889198	0	0.00
B	ratio_above_truth	2	0.46131	0.46131	0.46131	0	0.00
B	sample_count	2	336	336	336	0	0.00
