route	seq	log_step	source	act	label	doc_key	prereqs	note	condition
route-a	1	-	added	install	install a container runtime	-	docker-basics	route A cannot start without a running Docker daemon; the agent's host already had one, so the log has no row for it	
route-a	2	1	log	orient	open the model repository on GitHub	-	github-navigation		
route-a	3	2	log	run_command	chap --version	-	cli-basics		
route-a	4	3	log	orient	scan the repository page	-	github-navigation		
route-a	5	4	log	read_doc	read the model README in full	routeA_readme	docker-basics;cpu-architecture	the README is written for a reader who already has containers	
route-a	6	5	log	diagnose	the host is arm64 and the model is amd64-only	-	cpu-architecture	host-dependent: does not arise on an x86_64 host	arm64-host
route-a	7	6	log	run_command	git clone the model	-	git-basics		
route-a	8	7	log	milestone	model obtained	-	-		
route-a	9	8	log	read_doc	chap --help	chap_help	cli-help-reading		
route-a	10	9	log	read_doc	chap eval --help	chap_eval_help	cli-help-reading;rest-service-model	the load-bearing fact is that MODEL-NAME may be a service URL	
route-a	11	10	log	read_doc	read the Makefile and the compose files	routeA_compose	docker-compose;container-registry		
route-a	12	11	log	decide	pull the published image or build the Dockerfile	-	container-registry		
route-a	13	12	log	run_command	docker pull the published image	-	docker-basics;container-registry		
route-a	14	13	log	diagnose	the published image returns 401 and is not anonymously pullable	-	container-registry-auth	nothing in the README says the image is not public	
route-a	15	14	log	read_doc	read the Dockerfile	routeA_dockerfile	docker-basics		
route-a	16	15	log	run_command	docker build the image	-	docker-basics;cpu-architecture		
route-a	17	-	added	wait_unknown	wait for the image to build from cold	-	-	never measured in this repository: every logged build ran against a warm layer cache	
route-a	18	16	log	milestone	the 401 is worked around by building	-	-		
route-a	19	17	log	instrument	record that the layer cache was warm	-	-	exists because the agent was logging for this study	
route-a	20	18	log	read_doc	read the installed chap-core source to find how the geometry is loaded	chapcore_source	reading-library-source;python-venv-uv	the sibling-GeoJSON convention is documented nowhere else	
route-a	21	19	log	decide	check the supplied GeoJSON against the CSV's location column	-	geojson-basics		
route-a	22	20	log	run_command	docker run the service on :8000	-	docker-basics		
route-a	23	21	log	run_command	curl the service health endpoint	-	http-curl		
route-a	24	22	log	run_command	chap model schema against the running service	-	rest-service-model		
route-a	25	23	log	milestone	the service resolves as a model	-	-		
route-a	26	24	log	run_command	chap eval against the service	-	cli-basics		
route-a	27	25	log	milestone	evaluation started	-	-		
route-a	28	26	log	read_doc	chap export-metrics and plot-backtest --help	chap_post_help	cli-help-reading	read while the evaluation runs	
route-a	29	27	log	wait	wait for the evaluation to finish	-	-	measured; on an arm64 host the model runs under emulation throughout	
route-b	1	-	added	install	install uv	-	python-venv-uv	route B's own recipe begins by installing uv; the agent's host already had it	
route-b	2	1	log	run_command	chap --version	-	cli-basics		
route-b	3	2	log	run_command	docker info	-	cli-basics	the agent checked on its own initiative; route B needs no container runtime, so the route never gates on knowing Docker and no Docker knowledge is charged here	
route-b	4	3	log	orient	open the model repository on GitHub	-	github-navigation		
route-b	5	4	log	read_doc	read the model README	routeB_readme	python-venv-uv		
route-b	6	5	log	run_command	git clone the model	-	git-basics		
route-b	7	6	log	milestone	model obtained	-	-		
route-b	8	7	log	orient	return to the README for the full invocation	-	github-navigation		
route-b	9	8	log	read_doc	chap --help and chap eval --help	chap_help_pair	cli-help-reading		
route-b	10	9	log	read_doc	read the Lao CHAP schema	lao_schema	json-basics		
route-b	11	10	log	run_command	inspect the CSV from the shell	-	shell-text-tools		
route-b	12	11	log	run_command	uv run the model's own isolated_run.py	-	python-venv-uv		
route-b	13	12	log	milestone	the model runs standalone	-	-		
route-b	14	13	log	run_command	chap sanity-check-model (fails)	-	cli-basics		
route-b	15	14	log	diagnose	chap-core 2.3.1 ships without the example dataset its default expects	-	python-packaging	a FileNotFoundError deep inside site-packages, on a clean install	
route-b	16	15	log	milestone	worked around with --dataset-path	-	-		
route-b	17	16	log	run_command	chap sanity-check-model with the Lao CSV	-	cli-help-reading		
route-b	18	17	log	milestone	the MLproject directory loads as a model	-	-		
route-b	19	18	log	read_doc	read the installed chap-core source to find how the geometry is loaded	chapcore_common	reading-library-source;python-venv-uv	the same undocumented sibling-GeoJSON convention as route A	
route-b	20	19	log	decide	run from outside the repository so CHAP's run tree lands elsewhere	-	cwd-awareness		
route-b	21	20	log	milestone	evaluation started	-	-		
route-b	22	21	log	run_command	chap eval against the MLproject directory	-	cli-basics		
route-b	23	22	log	wait	wait for the evaluation to finish	-	-	measured	
