,time_period,population,location_name,rainfall,mean_temperature,mean_relative_humidity,parent,location
0,2010-05,100456,Attapeu,9.013391012355381,25.14788790221428,82.88435701308845,-,LA-AT
1,2010-06,100456,Attapeu,9.855491564533006,24.387190412704932,88.30455834736577,-,LA-AT
2,2010-07,100456,Attapeu,13.12404622381495,23.846579305865948,90.01070189017344,-,LA-AT
0,2010-05,88893,Bokeo,10.255059756564563,24.687041632634322,81.99574362280889,-,LA-BK
1,2010-06,88893,Bokeo,11.013451810116676,24.547990336227173,87.06068222056359,-,LA-BK
2,2010-07,88893,Bokeo,13.498309501940959,24.147557268780865,88.71377288867407,-,LA-BK
0,2010-05,304188,Bolikhamsai,9.162417307999277,24.029785160545828,85.59210137415067,-,LA-BL
1,2010-06,304188,Bolikhamsai,10.503248774801673,24.260245801258932,88.61672516928473,-,LA-BL
2,2010-07,304188,Bolikhamsai,12.579567572591452,24.02312147433286,89.28313075861125,-,LA-BL
0,2010-05,586946,Champasak,8.898761872197891,26.234719668665083,82.34339742245844,-,LA-CH
1,2010-06,586946,Champasak,9.901327700500868,25.54007468045122,87.3988665617166,-,LA-CH
2,2010-07,586946,Champasak,12.684253745914482,25.05450075099841,89.05073312115573,-,LA-CH
0,2010-05,97424,Houaphan,7.263850706304391,22.110631887357744,84.20312309307154,-,LA-HO
1,2010-06,97424,Houaphan,6.8658736206111195,23.067425849237328,85.74949476961154,-,LA-HO
2,2010-07,97424,Houaphan,8.369794514792371,22.795766418551885,87.37979545183272,-,LA-HO
0,2010-05,325633,Khammouane,8.434731228762326,24.766749575554723,83.9568054024473,-,LA-KH
1,2010-06,325633,Khammouane,9.709705765742521,24.87865984025916,87.46843646363853,-,LA-KH
2,2010-07,325633,Khammouane,11.747968217648749,24.522356878672124,88.7200479077525,-,LA-KH
0,2010-05,118364,Luang Namtha,8.35923668574837,23.205516705008296,81.60632817975403,-,LA-LM
1,2010-06,118364,Luang Namtha,8.283198131603333,23.37475200181854,86.30371346600211,-,LA-LM
2,2010-07,118364,Luang Namtha,11.077666020451106,22.898011096905247,88.73539177456246,-,LA-LM
0,2010-05,231328,Luang Prabang,6.88636227648103,23.39588828707177,82.10518309201251,-,LA-LP
1,2010-06,231328,Luang Prabang,7.487397327607894,23.642647584375588,85.60562339125659,-,LA-LP
2,2010-07,231328,Luang Prabang,10.206367762730821,23.16955874564481,88.32483732417177,-,LA-LP
0,2010-05,195084,Oudomxay,8.037319240022086,23.44032123369715,81.97055480425132,-,LA-OU
1,2010-06,195084,Oudomxay,7.818407603165025,23.65925721510605,85.31931014801128,-,LA-OU
2,2010-07,195084,Oudomxay,10.713792511512802,23.147626485163546,87.96653589403267,-,LA-OU
0,2010-05,40280,Phongsaly,9.623663027563527,22.501211147384286,83.75677200922001,-,LA-PH
1,2010-06,40280,Phongsaly,11.094964044843291,23.040528514585297,87.90885743305427,-,LA-PH
2,2010-07,40280,Phongsaly,13.40068657659345,22.64321395827007,90.41505621280498,-,LA-PH
0,2010-05,289512,Salavan,7.89311549086778,25.571216353314558,82.0302322830951,-,LA-SL
1,2010-06,289512,Salavan,7.267243746659913,25.32198225226284,84.45748948776718,-,LA-SL
2,2010-07,289512,Salavan,9.751940150779495,24.746418291801817,86.72424320124725,-,LA-SL
0,2010-05,719887,Savannakhet,7.423449429942858,26.254374475609104,81.01622438369142,-,LA-SV
1,2010-06,719887,Savannakhet,7.786805995923585,26.11870229555978,84.33054779536397,-,LA-SV
2,2010-07,719887,Savannakhet,9.933903726189559,25.58042443902658,86.56141528799287,-,LA-SV
0,2010-05,960194,Vientiane Capital,10.777736677423071,26.55934445228224,81.2824603149258,-,LA-VT
1,2010-06,960194,Vientiane Capital,11.918955554395243,26.411485524959314,86.10503932474876,-,LA-VT
2,2010-07,960194,Vientiane Capital,11.824040298448699,26.21797362890371,86.51045994387943,-,LA-VT
0,2010-05,265717,Xaignabouli,9.756897291445224,24.165625403889795,84.22057819301688,-,LA-XA
1,2010-06,265717,Xaignabouli,9.078255563063147,24.181055048081664,86.33324061258944,-,LA-XA
2,2010-07,265717,Xaignabouli,10.023676419722559,23.840467150996332,87.35983119792428,-,LA-XA
0,2010-05,86599,Xekong,9.405533298227692,22.810032437086285,85.14542450259789,-,LA-XE
1,2010-06,86599,Xekong,7.091527351048647,22.762940107933936,86.06667212744344,-,LA-XE
2,2010-07,86599,Xekong,8.819129655752102,22.315045383572325,87.39617858082865,-,LA-XE
0,2010-05,148858,Xiangkhouang,7.412528153887333,21.461493373487855,85.54638122377743,-,LA-XI
1,2010-06,148858,Xiangkhouang,7.381924896368558,22.025222458978103,87.30468654022727,-,LA-XI
2,2010-07,148858,Xiangkhouang,10.11389468002552,21.718922390582968,88.96081303598524,-,LA-XI
0,2010-05,53171,Xaisomboun,10.913538237446287,22.614988173073623,87.6512285807912,-,LA-XN
1,2010-06,53171,Xaisomboun,12.602450320915203,22.63192782993758,90.7094590744118,-,LA-XN
2,2010-07,53171,Xaisomboun,14.75503290437705,22.358188200198036,91.78386272169546,-,LA-XN
